--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Season,Lg,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
32,1993-94,NBA,1107,41.2,88.4,3.5,10.4,20.5,27.9,14.5,30.5,45,25.5,9.3,5.5,16.7,23.2,106.3,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3,0.528
33,1992-93,NBA,1107,41.7,88.2,3.1,9.2,21.5,28.4,14.2,30.1,44.3,25.4,8.8,5.4,16.3,23.8,108,0.473,0.336,0.754,96.8,0.491,14,32,0.243,108,0.536
34,1991-92,NBA,1107,42.4,89.7,2.6,7.8,20.8,27.4,14.7,30.1,44.9,25.1,8.9,5.7,16,22.8,108.2,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2,0.531
35,1990-91,NBA,1107,42,88.5,2.3,7.2,21.6,28.3,14.2,29.7,43.9,25.1,8.7,5.3,16.3,23.5,107.9,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9,0.534
36,1989-90,NBA,1107,42,88.1,2.2,6.7,22,28.8,14,29.6,43.6,25.1,8.6,5.1,16.2,23.5,108.1,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1,0.537
37,1988-89,NBA,1025,41.9,87.8,2.1,6.5,21.8,28.4,14.3,29,43.4,25.2,9,5.3,17,23.4,107.8,0.477,0.323,0.768,100.6,0.489,14.5,33,0.249,107.8,0.537
38,1987-88,NBA,943,42.1,87.6,1.6,5,22.3,29.1,14.2,29.1,43.3,25.7,8.5,5.4,16.7,24.1,108,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108,0.538
39,1986-87,NBA,943,42,87.5,1.4,4.7,22.9,30,14.5,28.9,43.4,25.6,8.5,5.4,16.7,24.2,108.3,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3,0.538
40,1985-86,NBA,943,42,86.2,0.9,3.2,22.3,29.4,13.8,28.6,42.4,25.3,8.5,5.1,17.4,24.5,107.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2,0.541
41,1984-85,NBA,943,42.6,86.7,0.9,3.1,21.8,28.6,13.9,28.4,42.3,25.6,8.3,5.2,17.4,24.3,107.9,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9,0.543
42,1983-84,NBA,943,42.5,86.4,0.6,2.3,22,29,13.9,28.2,42.1,25.6,8.3,5.2,17.5,25.2,107.6,0.492,0.25,0.76,101.4,0.495,15,33,0.255,107.6,0.543
43,1982-83,NBA,943,42,86.5,0.5,2.2,20.2,27.3,14.3,28.6,42.9,25,8.6,5.4,18.4,24.8,104.7,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7,0.531
44,1981-82,NBA,943,42.7,86.9,0.6,2.2,21,28.1,14.1,28.7,42.8,24.8,8.4,5.3,17.5,25.8,106.9,0.491,0.262,0.746,100.9,0.495,15,33,0.241,106.9,0.539
45,1980-81,NBA,943,41.9,86.3,0.5,2,21.2,28.2,14.2,28.2,42.4,24.9,8.8,5.2,18.3,24.5,105.5,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5,0.534
46,1979-80,NBA,902,42,87.3,0.7,2.7,20.5,26.8,14.5,28.8,43.3,24.9,9.1,5.1,18.2,23.5,105.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3,0.531
